name_official,slug,lga,state,postcodes,centroid_lat,centroid_lon,distance_to_bne_cbd_km,label_lat,label_lon,record_hash
Annerley,annerley,Brisbane City,QLD,,-27.512449,153.032345,4.78,-27.512661,153.032147,
Albion,albion,Brisbane City,QLD,,-27.432636,153.043558,4.504,-27.433,153.044037,
Alderley,alderley,Brisbane City,QLD,,-27.425278,153.001007,5.478,-27.42526,153.000458,
Acacia Ridge,acacia-ridge,Brisbane City,QLD,,-27.585366,153.023585,12.807,-27.585488,153.025875,
Archerfield,archerfield,Brisbane City,QLD,,-27.568534,153.011278,11.026,-27.567591,153.009981,
Anstead,anstead,Brisbane City,QLD,,-27.53782,152.86162,17.825,-27.536341,152.859471,
Algester,algester,Brisbane City,QLD,,-27.61274,153.032546,15.857,-27.612962,153.032906,
Bald Hills,bald-hills,Brisbane City,QLD,,-27.306469,153.019892,18.106,-27.308741,153.019082,
Ascot,ascot,Brisbane City,QLD,,-27.42975,153.065175,5.949,-27.429938,153.063632,
Ashgrove,ashgrove,Brisbane City,QLD,,-27.443107,152.983982,5.027,-27.442665,152.981962,
Aspley,aspley,Brisbane City,QLD,,-27.36666,153.017934,11.451,-27.367104,153.015312,
Auchenflower,auchenflower,Brisbane City,QLD,,-27.473929,152.995195,2.991,-27.474823,152.994462,
Balmoral,balmoral,Brisbane City,QLD,,-27.456398,153.067713,4.466,-27.456503,153.06843,
Banks Creek,banks-creek,Brisbane City,QLD,,-27.379594,152.749359,29.04,-27.383329,152.747555,
Banyo,banyo,Brisbane City,QLD,,-27.379145,153.082392,11.533,-27.378802,153.08416,
Bardon,bardon,Brisbane City,QLD,,-27.460071,152.978179,4.761,-27.460522,152.976296,
Bellbowrie,bellbowrie,Brisbane City,QLD,,-27.559165,152.883516,17.139,-27.558122,152.883553,
Belmont,belmont,Brisbane City,QLD,,-27.509076,153.133461,11.559,-27.506246,153.137023,
Boondall,boondall,Brisbane City,QLD,,-27.349057,153.069421,14.079,-27.348209,153.072209,
Bridgeman Downs,bridgeman-downs,Brisbane City,QLD,,-27.351406,152.99427,13.469,-27.351795,152.995368,
Bowen Hills,bowen-hills,Brisbane City,QLD,,-27.444734,153.03667,3.004,-27.443236,153.037643,
Bracken Ridge,bracken-ridge,Brisbane City,QLD,,-27.319829,153.033854,16.641,-27.317975,153.033306,
Brighton,brighton,Brisbane City,QLD,,-27.296221,153.057148,19.494,-27.295738,153.057474,
Brisbane Airport,brisbane-airport,Brisbane City,QLD,,-27.388371,153.113205,12.542,-27.3851,153.117276,
Brisbane City,brisbane-city,Brisbane City,QLD,,-27.469776,153.025142,0.005,-27.47004,153.026138,
Bulimba,bulimba,Brisbane City,QLD,,-27.447955,153.059209,4.151,-27.448866,153.060986,
Bulwer,bulwer,Brisbane City,QLD,,-27.078752,153.369452,55.137,-27.078954,153.369552,
Brookfield,brookfield,Brisbane City,QLD,,-27.483487,152.903483,12.115,-27.489589,152.905244,
Burbank,burbank,Brisbane City,QLD,,-27.561223,153.160365,16.77,-27.565405,153.163357,
Camp Hill,camp-hill,Brisbane City,QLD,,-27.49579,153.077848,5.956,-27.497596,153.077292,
Cannon Hill,cannon-hill,Brisbane City,QLD,,-27.472364,153.094945,6.909,-27.472815,153.097398,
Calamvale,calamvale,Brisbane City,QLD,,-27.622582,153.048209,17.083,-27.62218,153.046627,
Clayfield,clayfield,Brisbane City,QLD,,-27.419354,153.054129,6.284,-27.418498,153.055319,
Carina Heights,carina-heights,Brisbane City,QLD,,-27.507442,153.091091,7.741,-27.50684,153.092777,
Carina,carina,Brisbane City,QLD,,-27.487787,153.099007,7.571,-27.486959,153.0954,
Carindale,carindale,Brisbane City,QLD,,-27.511537,153.11298,9.839,-27.513339,153.111555,
Chandler,chandler,Brisbane City,QLD,,-27.515,153.168415,15.022,-27.515917,153.171034,
Chapel Hill,chapel-hill,Brisbane City,QLD,,-27.498681,152.948747,8.196,-27.498949,152.949017,
Carseldine,carseldine,Brisbane City,QLD,,-27.346253,153.016053,13.719,-27.345153,153.016529,
Chuwar,chuwar,Brisbane City,QLD,,-27.547248,152.773543,26.295,-27.54668,152.780407,
Chelmer,chelmer,Brisbane City,QLD,,-27.512845,152.975269,6.856,-27.512942,152.974779,
Chermside West,chermside-west,Brisbane City,QLD,,-27.383702,153.012436,9.622,-27.384915,153.012355,
Chermside,chermside,Brisbane City,QLD,,-27.385126,153.032292,9.41,-27.384164,153.033261,
Coorparoo,coorparoo,Brisbane City,QLD,,-27.499082,153.061534,4.847,-27.498845,153.05913,
Coopers Plains,coopers-plains,Brisbane City,QLD,,-27.56615,153.036908,10.74,-27.566265,153.036949,
Heathwood,heathwood,Brisbane City,QLD,,-27.63986,152.988389,19.19,-27.640328,152.985817,
Hemmant,hemmant,Brisbane City,QLD,,-27.446588,153.131299,10.808,-27.44536,153.12928,
Hawthorne,hawthorne,Brisbane City,QLD,,-27.46376,153.058677,3.386,-27.464055,153.059066,
Eight Mile Plains,eight-mile-plains,Brisbane City,QLD,,-27.579786,153.092674,13.896,-27.581352,153.089306,
Ferny Grove,ferny-grove,Brisbane City,QLD,,-27.403419,152.927477,12.135,-27.403923,152.927075,
